pop2024,pop2020,growth,name,aland_sqmi,intptlat,intptlong,slug,usps,lsad,lng,lat,type,rank,density
3301,2847,0.03577,Natalbany,4.426,30.5489,-90.4875,natalbany-la,LA,5,-90.4875,30.5489,CDP,137,746
3275,3330,-0.00426,Welsh,6.322,30.2356,-92.8124,welsh-la,LA,4,-92.8124,30.2356,Village,138,518
3260,3364,-0.00791,Farmerville,5.78,32.7751,-92.4005,farmerville-la,LA,4,-92.4005,32.7751,Village,139,564
3206,2800,0.01456,Lakeshore,0.849,32.5349,-92.0338,lakeshore-la,LA,5,-92.0338,32.5349,CDP,140,3776
3184,3342,-0.01241,Rayville,2.31,32.471,-91.7574,rayville-la,LA,4,-91.7574,32.471,Village,141,1378
3159,3343,-0.01435,Bunkie,3.022,30.9537,-92.1881,bunkie-la,LA,2,-92.1881,30.9537,City,142,1045
3124,2978,0.01166,Sunset,3.227,30.4059,-92.0624,sunset-la,LA,4,-92.0624,30.4059,Village,143,968
3101,2713,0.03229,Westminster,1.025,30.4076,-91.09,westminster-la,LA,5,-91.09,30.4076,CDP,144,3025
3079,1815,0.11437,Pierre Part,3.073,29.9554,-91.2028,pierre-part-la,LA,5,-91.2028,29.9554,CDP,145,1002
3076,3548,-0.03694,Lake Providence,3.595,32.802,-91.1752,lake-providence-la,LA,4,-91.1752,32.802,Village,146,856
3075,3155,-0.00646,Greenwood,8.994,32.4315,-93.9599,greenwood-la,LA,4,-93.9599,32.4315,Village,147,342
3026,2186,0.07457,Maurice,2.784,30.1041,-92.1211,maurice-la,LA,4,-92.1211,30.1041,Village,148,1087
3004,3399,-0.0319,Vinton,5.097,30.1954,-93.5822,vinton-la,LA,4,-93.5822,30.1954,Village,149,589
3001,3420,-0.03381,Iowa,3.396,30.2414,-93.013,iowa-la,LA,4,-93.013,30.2414,Village,150,884
2934,3189,-0.02135,Ferriday,1.629,31.6342,-91.5562,ferriday-la,LA,4,-91.5562,31.6342,Village,151,1801
2917,2883,0.00309,New Orleans Station,5.199,29.8274,-90.025,new-orleans-station-la,LA,5,-90.025,29.8274,CDP,152,561
2910,3240,-0.02741,South Vacherie,5.082,29.9402,-90.6877,south-vacherie-la,LA,5,-90.6877,29.9402,CDP,153,573
2903,3059,-0.01326,Vivian,5.517,32.8711,-93.9863,vivian-la,LA,4,-93.9863,32.8711,Village,154,526
2850,2068,0.07385,Milton,4.646,30.114,-92.0691,milton-la,LA,5,-92.0691,30.114,CDP,155,613
2844,3123,-0.02402,Lutcher,3.371,30.063,-90.7117,lutcher-la,LA,4,-90.7117,30.063,Village,156,844
2820,2993,-0.00494,Norco,3.449,29.9983,-90.4045,norco-la,LA,5,-90.4045,29.9983,CDP,157,818
2781,2923,-0.01278,Mamou,1.409,30.6349,-92.4179,mamou-la,LA,4,-92.4179,30.6349,Village,158,1974
2764,2630,0.01208,Abita Springs,4.588,30.4735,-90.0203,abita-springs-la,LA,4,-90.0203,30.4735,Village,159,602
2754,3125,-0.03267,DeQuincy,3.193,30.449,-93.4457,dequincy-la,LA,2,-93.4457,30.449,City,160,863
2735,2238,0.03598,Ossun,3.394,30.2834,-92.107,ossun-la,LA,5,-92.107,30.2834,CDP,161,806
2712,1982,0.07236,Lafourche Crossing,4.21,29.7675,-90.7697,lafourche-crossing-la,LA,5,-90.7697,29.7675,CDP,162,644
2703,2815,-0.01025,Erwinville,9.519,30.541,-91.3885,erwinville-la,LA,5,-91.3885,30.541,CDP,163,284
2695,2917,-0.02036,Gramercy,2.013,30.0619,-90.6936,gramercy-la,LA,4,-90.6936,30.0619,Village,164,1339
2676,2563,0.01057,Pearl River,3.733,30.3714,-89.7504,pearl-river-la,LA,4,-89.7504,30.3714,Village,165,717
2618,2285,0.03274,Stonewall,8.587,32.2713,-93.8074,stonewall-la,LA,4,-93.8074,32.2713,Village,166,305
2607,2574,0.00308,Brusly,2.213,30.3943,-91.2516,brusly-la,LA,4,-91.2516,30.3943,Village,167,1178
2570,2729,-0.01533,Homer,4.653,32.7938,-93.0591,homer-la,LA,4,-93.0591,32.7938,Village,168,552
2562,2150,-0.01764,Bawcomville,3.167,32.4687,-92.1737,bawcomville-la,LA,5,-92.1737,32.4687,CDP,169,809
2557,2589,-0.00312,Lake Arthur,1.854,30.08,-92.6774,lake-arthur-la,LA,4,-92.6774,30.08,Village,170,1379
2530,2730,-0.01938,Arcadia,3.645,32.5508,-92.9214,arcadia-la,LA,4,-92.9214,32.5508,Village,171,694
2526,2621,-0.00941,Delhi,2.872,32.4528,-91.49,delhi-la,LA,4,-91.49,32.4528,Village,172,880
2520,2506,0.00159,Poydras,3.908,29.8596,-89.8873,poydras-la,LA,5,-89.8873,29.8596,CDP,173,645
2490,1989,0.05285,Sterlington,2.832,32.6889,-92.0603,sterlington-la,LA,4,-92.0603,32.6889,Village,174,879
2476,2560,-0.00841,Many,3.407,31.5661,-93.4772,many-la,LA,4,-93.4772,31.5661,Village,175,727
2391,2798,-0.02884,Grand Point,4.293,30.0472,-90.7501,grand-point-la,LA,5,-90.7501,30.0472,CDP,176,557
2341,1761,0.06603,Paulina,4.617,30.037,-90.722,paulina-la,LA,5,-90.722,30.037,CDP,177,507
2340,2491,-0.01598,Lockport,1.133,29.6441,-90.5316,lockport-la,LA,4,-90.5316,29.6441,Village,178,2065
2336,1976,-0.00086,Des Allemands,9.949,29.8154,-90.4705,des-allemands-la,LA,5,-90.4705,29.8154,CDP,179,235
2316,2944,0.00915,Boutte,13.784,29.8874,-90.3888,boutte-la,LA,5,-90.3888,29.8874,CDP,180,168
2257,2015,0.02778,Presquille,0.783,29.5586,-90.6386,presquille-la,LA,5,-90.6386,29.5586,CDP,181,2883
2251,2771,-0.0546,Chauvin,4.761,29.4453,-90.5936,chauvin-la,LA,5,-90.5936,29.4453,CDP,182,473
2184,2151,0.00368,Kentwood,7.11,30.9338,-90.5152,kentwood-la,LA,4,-90.5152,30.9338,Village,183,307
2120,1966,0.00284,Garyville,14.286,30.0657,-90.6347,garyville-la,LA,5,-90.6347,30.0657,CDP,184,148
2111,2037,0.00908,Montz,2.767,30.0248,-90.4604,montz-la,LA,5,-90.4604,30.0248,CDP,185,763
2092,2054,0.00432,Benton,2.516,32.6896,-93.7401,benton-la,LA,4,-93.7401,32.6896,Village,186,831
2045,2205,-0.01918,New Llano,2.674,31.1057,-93.2696,new-llano-la,LA,4,-93.2696,31.1057,Village,187,765
2034,2161,-0.01549,Kinder,5.525,30.4831,-92.852,kinder-la,LA,4,-92.852,30.4831,Village,188,368
2010,2236,0.00249,Amelia,2.521,29.6632,-91.1109,amelia-la,LA,5,-91.1109,29.6632,CDP,189,797
2008,2052,-0.00545,Belle Rose,5.365,30.0422,-91.0497,belle-rose-la,LA,5,-91.0497,30.0422,CDP,190,374
2001,1881,0.01522,Livingston,3.223,30.4953,-90.7467,livingston-la,LA,4,-90.7467,30.4953,Village,191,621
1995,2400,-0.01966,Fort Polk North,8.38,31.1004,-93.1745,fort-polk-north-la,LA,5,-93.1745,31.1004,CDP,192,238
1935,2023,-0.01124,Erath,1.757,29.9588,-92.0374,erath-la,LA,4,-92.0374,29.9588,Village,193,1101
1928,1285,0.0729,Vienna Bend,2.157,31.7397,-93.0346,vienna-bend-la,LA,5,-93.0346,31.7397,CDP,194,894
